@RELATION demo 
@ATTRIBUTE f1 NUMERIC 
@ATTRIBUTE f2 NUMERIC 
@ATTRIBUTE f3 NUMERIC 
@ATTRIBUTE f4 NUMERIC 
@ATTRIBUTE f5 NUMERIC 
@ATTRIBUTE f6 NUMERIC 
@ATTRIBUTE class {-1,0,1} 
@DATA 
30,20,-10,0,0,-5,-1 
-10,30,20,0,0,0,-1 
-40,-10,30,-10,0,0,-1 
10,-40,-10,0,-10,0,1 
70,10,-40,0,0,-10,1 
0,70,10,5,0,0,1 
50,0,70,5,5,0,1 
80,50,0,0,5,5,-1 
100,80,50,0,0,5,1 
100,100,80,5,0,0,1 
90,100,100,0,5,0,1 
90,90,100,0,0,5,-1 
70,90,90,0,0,0,-1 
40,70,90,0,0,0,1 
30,40,70,0,0,0,1 
60,30,40,0,0,0,1 
40,60,30,0,0,0,-1 
20,40,60,0,0,0,-1 
60,20,40,-5,0,0,1 
50,60,20,5,-5,0,1 
50,50,60,0,5,-5,1 
0,50,50,0,0,5,1 
30,0,50,0,0,0,-1 
0,30,0,0,0,0,1 
20,0,30,0,0,0,-1 
40,20,0,0,0,0,-1 
40,40,20,0,0,0,-1 
70,40,40,-15,0,0,1 
40,70,40,0,-15,0,1 
-10,40,70,5,0,-15,-1 
-30,-10,40,-5,5,0,1 
90,-30,-10,5,-5,5,1 
0,90,-30,0,5,-5,1 
-20,0,90,0,0,5,-1 
-30,-20,0,0,0,0,1 
10,-30,-20,0,0,0,-1 
-50,10,-30,0,0,0,-1 
-60,-50,10,-5,0,0,1 
30,-60,-50,0,-5,0,1 
70,30,-60,5,0,-5,1 
10,70,30,0,5,0,1 
20,10,70,0,0,5,1 
40,20,10,0,0,0,-1 
10,40,20,0,0,0,-1 
0,10,40,0,0,0,1 
50,0,10,10,0,0,1 
30,50,0,0,10,0,1 
0,30,50,0,0,10,1 
0,0,30,0,0,0,1 
60,0,0,5,0,0,-1 
40,60,0,0,5,0,-1 
0,40,60,0,0,5,1 
20,0,40,5,0,0,-1 
-10,20,0,0,5,0,1 
0,-10,20,0,0,5,-1 
0,0,-10,0,0,0,1 
30,0,0,0,0,0,1 
90,30,0,5,0,0,1 
20,90,30,0,5,0,-1 
10,20,90,0,0,5,-1 
10,10,20,0,0,0,1 
50,10,10,0,0,0,1 
30,50,10,0,0,0,1 
170,30,50,0,0,0,1 
70,170,30,0,0,0,-1 
0,70,170,0,0,0,-1 
40,0,70,0,0,0,1 
30,40,0,0,0,0,-1 
30,30,40,0,0,0,1 
50,30,30,5,0,0,-1 
20,50,30,0,5,0,1 
60,20,50,5,0,5,1 
50,60,20,5,5,0,1 
80,50,60,0,5,5,1 
0,80,50,0,0,5,-1 
-50,0,80,0,0,0,1 
40,-50,0,0,0,0,1 
20,40,-50,0,0,0,-1 
-10,20,40,0,0,0,1 
0,-10,20,5,0,0,-1 
10,0,-10,-5,5,0,1 
-20,10,0,0,-5,5,1 
20,-20,10,5,0,-5,-1 
10,20,-20,-5,5,0,-1 
-20,10,20,-5,-5,5,-1 
10,-20,10,0,-5,-5,1 
0,10,-20,0,0,-5,1 
60,0,10,5,0,0,1 
10,60,0,0,5,0,-1 
-10,10,60,-5,0,5,-1 
20,-10,10,0,-5,0,-1 
70,20,-10,0,0,-5,1 
80,70,20,5,0,0,-1 
-100,80,70,-10,5,0,-1 
10,-100,80,-5,-10,5,1 
10,10,-100,5,-5,-10,-1 
-170,10,10,-20,5,-5,1 
50,-170,10,0,-20,5,-1 
-10,50,-170,0,0,-20,-1 
-10,-10,50,0,0,0,1 
-10,-10,-10,5,0,0,-1 
-30,-10,-10,0,5,0,1 
70,-30,-10,5,0,5,-1 
0,70,-30,0,5,0,-1 
0,0,70,0,0,5,-1 
0,0,0,-5,0,0,1 
60,0,0,10,-5,0,1 
50,60,0,0,10,-5,-1 
10,50,60,0,0,10,1 
140,10,50,10,0,0,1 
40,140,10,0,10,0,1 
30,40,140,0,0,10,1 
110,30,40,5,0,0,-1 
40,110,30,0,5,0,-1 
40,40,110,0,0,5,1 
80,40,40,5,0,0,-1 
0,80,40,-10,5,0,1 
70,0,80,5,-10,5,-1 
0,70,0,0,5,-10,-1 
10,0,70,0,0,5,1 
90,10,0,0,0,0,-1 
-100,90,10,-5,0,0,-1 
-10,-100,90,0,-5,0,-1 
-40,-10,-100,-10,0,-5,-1 
-10,-40,-10,0,-10,0,-1 
-70,-10,-40,-5,0,-10,1 
-30,-70,-10,5,-5,0,1 
-10,-30,-70,0,5,-5,1 
-20,-10,-30,0,0,5,-1 
-150,-20,-10,-10,0,0,-1 
-60,-150,-20,-5,-10,0,1 
-50,-60,-150,0,-5,-10,-1 
-50,-50,-60,-5,0,-5,-1 
-20,-50,-50,0,-5,0,-1 
-120,-20,-50,0,0,-5,1 
-40,-120,-20,0,0,0,1 
-70,-40,-120,0,0,0,-1 
-60,-70,-40,0,0,0,1 
40,-60,-70,10,0,0,-1 
-40,40,-60,0,10,0,-1 
0,-40,40,-5,0,10,-1 
-40,0,-40,-5,-5,0,1 
0,-40,0,0,-5,-5,-1 
-80,0,-40,-25,0,-5,1 
-20,-80,0,5,-25,0,-1 
-30,-20,-80,-10,5,-25,-1 
-40,-30,-20,0,-10,5,-1 
-70,-40,-30,-10,0,-10,1 
20,-70,-40,15,-10,0,-1 
-20,20,-70,0,15,-10,1 
50,-20,20,10,0,15,-1 
10,50,-20,0,10,0,-1 
-50,10,50,-5,0,10,-1 
60,-50,10,0,-5,0,1 
120,60,-50,15,0,-5,1 
100,120,60,10,15,0,-1 
60,100,120,0,10,15,1 
80,60,100,5,0,10,1 
70,80,60,0,5,0,-1 
70,70,80,0,0,5,-1 
20,70,70,0,0,0,-1 
30,20,70,-5,0,0,1 
10,30,20,0,-5,0,1 
150,10,30,15,0,-5,-1 
50,150,10,0,15,0,-1 
-30,50,150,-10,0,15,1 
30,-30,50,5,-10,0,1 
20,30,-30,0,5,-10,-1 
-50,20,30,-10,0,5,-1 
30,-50,20,0,-10,0,1 
130,30,-50,10,0,-10,1 
100,130,30,10,10,0,1 
30,100,130,0,10,10,1 
50,30,100,0,0,10,-1 
30,50,30,0,0,0,1 
30,30,50,0,0,0,1 
70,30,30,0,0,0,1 
50,70,30,0,0,0,-1 
-50,50,70,-5,0,0,-1 
-80,-50,50,-5,-5,0,1 
0,-80,-50,15,-5,-5,1 
60,0,-80,5,15,-5,-1 
-10,60,0,0,5,15,-1 
-30,-10,60,0,0,5,-1 
-30,-30,-10,-5,0,0,-1 
-110,-30,-30,-10,-5,0,-1 
-30,-110,-30,0,-10,-5,1 
-40,-30,-110,0,0,-10,-1 
-40,-40,-30,0,0,0,-1 
-90,-40,-40,0,0,0,-1 
-200,-90,-40,-10,0,0,1 
-70,-200,-90,5,-10,0,1 
80,-70,-200,10,5,-10,1 
40,80,-70,10,10,5,1 
10,40,80,0,10,10,1 
30,10,40,5,0,10,-1 
10,30,10,0,5,0,1 
20,10,30,5,0,5,1 
0,20,10,0,5,0,1 
100,0,20,5,0,5,-1 
20,100,0,0,5,0,1 
10,20,100,0,0,5,-1 
-30,10,20,0,0,0,-1 
-180,-30,10,-20,0,0,1 
-30,-180,-30,0,-20,0,1 
80,-30,-180,15,0,-20,-1 
-10,80,-30,0,15,0,-1 
0,-10,80,0,0,15,1 
20,0,-10,5,0,0,-1 
-60,20,0,-5,5,0,-1 
-30,-60,20,0,-5,5,-1 
-80,-30,-60,0,0,-5,1 
80,-80,-30,0,0,0,1 
80,80,-80,5,0,0,1 
170,80,80,5,5,0,1 
110,170,80,5,5,5,1 
210,110,170,10,5,5,1 
90,210,110,0,10,5,1 
130,90,210,0,0,10,-1 
100,130,90,0,0,0,-1 
0,100,130,-5,0,0,-1 
-20,0,100,-5,-5,0,1 
40,-20,0,0,-5,-5,1 
70,40,-20,5,0,-5,1 
100,70,40,5,5,0,-1 
20,100,70,0,5,5,-1 
10,20,100,-5,0,5,-1 
30,10,20,0,-5,0,-1 
40,30,10,0,0,-5,1 
70,40,30,5,0,0,1 
80,70,40,0,5,0,1 
120,80,70,0,0,5,1 
110,120,80,10,0,0,1 
140,110,120,5,10,0,-1 
80,140,110,-5,5,10,-1 
0,80,140,0,-5,5,1 
30,0,80,0,0,-5,1 
60,30,0,0,0,0,-1 
0,60,30,0,0,0,1 
30,0,60,5,0,0,-1 
-100,30,0,-5,5,0,-1 
-80,-100,30,0,-5,5,-1 
-80,-80,-100,0,0,-5,1 
10,-80,-80,5,0,0,-1 
-40,10,-80,0,5,0,-1 
-70,-40,10,-5,0,5,1 
0,-70,-40,0,-5,0,1 
100,0,-70,10,0,-5,1 
80,100,0,5,10,0,1 
0,80,100,0,5,10,1 
20,0,80,0,0,5,-1 
0,20,0,0,0,0,-1 
-30,0,20,-5,0,0,-1 
-110,-30,0,-5,-5,0,-1 
-190,-110,-30,-10,-5,-5,1 
-10,-190,-110,0,-10,-5,1 
-20,-10,-190,5,0,-10,-1 
-60,-20,-10,-5,5,0,1 
50,-60,-20,5,-5,5,1 
20,50,-60,0,5,-5,-1 
-60,20,50,-5,0,5,-1 
-10,-60,20,0,-5,0,1 
30,-10,-60,5,0,-5,1 
20,30,-10,5,5,0,-1 
-30,20,30,0,5,5,-1 
-210,-30,20,-10,0,5,1 
100,-210,-30,10,-10,0,-1 
-30,100,-210,-5,10,-10,-1 
0,-30,100,0,-5,10,-1 
30,0,-30,0,0,-5,1 
60,30,0,5,0,0,1 
220,60,30,15,5,0,1 
460,220,60,10,15,5,1 
210,460,220,5,10,15,-1 
100,210,460,0,5,10,-1 
70,100,210,-10,0,5,-1 
10,70,100,0,-10,0,1 
20,10,70,0,0,-10,-1 
30,20,10,0,0,0,-1 
10,30,20,0,0,0,-1 
-10,10,30,-10,0,0,-1 
20,-10,10,0,-10,0,-1 
60,20,-10,0,0,-10,1 
30,60,20,0,0,0,1 
40,30,60,0,0,0,-1 
-50,40,30,-10,0,0,-1 
0,-50,40,0,-10,0,1 
90,0,-50,0,0,-10,1 
90,90,0,10,0,0,-1 
-10,90,90,0,10,0,-1 
-120,-10,90,-10,0,10,1 
20,-120,-10,5,-10,0,1 
-20,20,-120,0,5,-10,1 
40,-20,20,0,0,5,1 
20,40,-20,0,0,0,1 
10,20,40,0,0,0,-1 
0,10,20,0,0,0,-1 
-90,0,10,-5,0,0,-1 
-10,-90,0,0,-5,0,-1 
-30,-10,-90,-5,0,-5,-1 
-130,-30,-10,-20,-5,0,-1 
-90,-130,-30,0,-20,-5,1 
-80,-90,-130,0,0,-20,-1 
-30,-80,-90,-15,0,0,1 
-30,-30,-80,10,-15,0,1 
-80,-30,-30,0,10,-15,-1 
-40,-80,-30,0,0,10,-1 
-40,-40,-80,0,0,0,-1 
-70,-40,-40,-5,0,0,-1 
-100,-70,-40,0,-5,0,1 
-40,-100,-70,0,0,-5,1 
30,-40,-100,10,0,0,1 
-10,30,-40,5,10,0,1 
0,-10,30,0,5,10,1 
100,0,-10,5,0,5,-1 
20,100,0,0,5,0,-1 
-70,20,100,-20,0,5,1 
10,-70,20,5,-20,0,1 
10,10,-70,5,5,-20,1 
-30,10,10,0,5,5,-1 
-50,-30,10,0,0,5,-1 
-50,-50,-30,-10,0,0,-1 
0,-50,-50,0,-10,0,-1 
-150,0,-50,-25,0,-10,-1 
-130,-150,0,-5,-25,0,1 
-30,-130,-150,10,-5,-25,1 
0,-30,-130,0,10,-5,1 
10,0,-30,0,0,10,-1 
10,10,0,0,0,0,1 
30,10,10,0,0,0,-1 
30,30,10,-5,0,0,1 
50,30,30,0,-5,0,-1 
-30,50,30,-5,0,-5,-1 
-50,-30,50,-10,-5,0,-1 
-20,-50,-30,0,-10,-5,-1 
-30,-20,-50,-20,0,-10,1 
-40,-30,-20,0,-20,0,-1 
-20,-40,-30,0,0,-20,1 
0,-20,-40,10,0,0,1 
10,0,-20,0,10,0,-1 
-40,10,0,-15,0,10,-1 
30,-40,10,0,-15,0,1 
0,30,-40,0,0,-15,-1 
-20,0,30,-10,0,0,-1 
0,-20,0,0,-10,0,1 
-10,0,-20,0,0,-10,-1 
-20,-10,0,-5,0,0,-1 
-80,-20,-10,-10,-5,0,1 
-10,-80,-20,0,-10,-5,-1 
-20,-10,-80,0,0,-10,-1 
-20,-20,-10,-10,0,0,-1 
0,-20,-20,0,-10,0,-1 
-60,0,-20,-15,0,-10,1 
-50,-60,0,0,-15,0,-1 
-70,-50,-60,-30,0,-15,-1 
-60,-70,-50,-45,-30,0,1 
40,-60,-70,35,-45,-30,1 
-90,40,-60,5,35,-45,1 
-60,-90,40,10,5,35,1 
40,-60,-90,20,10,5,1 
0,40,-60,15,20,10,-1 
-50,0,40,-15,15,20,1 
0,-50,0,0,-15,15,1 
30,0,-50,5,0,-15,-1 
-30,30,0,-10,5,0,-1 
-20,-30,30,0,-10,5,1 
-30,-20,-30,0,0,-10,1 
210,-30,-20,35,0,0,-1 
20,210,-30,0,35,0,1 
0,20,210,0,0,35,1 
10,0,20,0,0,0,-1 
-10,10,0,-5,0,0,1 
40,-10,10,5,-5,0,1 
110,40,-10,10,5,-5,1 
30,110,40,0,10,5,-1 
-100,30,110,-15,0,10,1 
0,-100,30,5,-15,0,-1 
-150,0,-100,-20,5,-15,-1 
-70,-150,0,-5,-20,5,1 
-30,-70,-150,0,-5,-20,1 
0,-30,-70,5,0,-5,1 
30,0,-30,10,5,0,1 
-10,30,0,0,10,5,1 
-20,-10,30,5,0,10,1 
20,-20,-10,0,5,0,1 
50,20,-20,10,0,5,-1 
10,50,20,-5,10,0,1 
90,10,50,15,-5,10,-1 
20,90,10,0,15,-5,-1 
-10,20,90,-5,0,15,1 
110,-10,20,5,-5,0,1 
40,110,-10,0,5,-5,1 
50,40,110,0,0,5,1 
50,50,40,0,0,0,-1 
40,50,50,-5,0,0,-1 
20,40,50,0,-5,0,1 
100,20,40,5,0,-5,1 
110,100,20,5,5,0,-1 
0,110,100,-5,5,5,-1 
-10,0,110,0,-5,5,-1 
-50,-10,0,-10,0,-5,-1 
0,-50,-10,0,-10,0,1 
30,0,-50,5,0,-10,1 
100,30,0,10,5,0,1 
210,100,30,15,10,5,-1 
40,210,100,0,15,10,-1 
-140,40,210,-15,0,15,-1 
-20,-140,40,-5,-15,0,-1 
-110,-20,-140,-10,-5,-15,-1 
-120,-110,-20,-10,-10,-5,1 
-60,-120,-110,0,-10,-10,-1 
-110,-60,-120,-10,0,-10,-1 
-90,-110,-60,0,-10,0,1 
10,-90,-110,10,0,-10,-1 
-70,10,-90,-5,10,0,1 
20,-70,10,15,-5,10,-1 
10,20,-70,0,15,-5,1 
20,10,20,0,0,15,-1 
-10,20,10,-10,0,0,-1 
-10,-10,20,0,-10,0,1 
90,-10,-10,10,0,-10,-1 
-30,90,-10,-10,10,0,-1 
-190,-30,90,-5,-10,10,1 
80,-190,-30,15,-5,-10,-1 
0,80,-190,0,15,-5,-1 
0,0,80,0,0,15,-1 
-90,0,0,-5,0,0,1 
60,-90,0,5,-5,0,-1 
-110,60,-90,-10,5,-5,-1 
-80,-110,60,-10,-10,5,-1 
-110,-80,-110,0,-10,-10,-1 
-80,-110,-80,-10,0,-10,-1 
-50,-80,-110,-5,-10,0,1 
-50,-50,-80,0,-5,-10,1 
40,-50,-50,10,0,-5,1 
70,40,-50,15,10,0,-1 
10,70,40,-5,15,10,1 
-10,10,70,0,-5,15,1 
10,-10,10,0,0,-5,1 
30,10,-10,0,0,0,1 
30,30,10,0,0,0,1 
20,30,30,0,0,0,-1 
10,20,30,0,0,0,-1 
0,10,20,-5,0,0,-1 
-30,0,10,0,-5,0,1 
0,-30,0,5,0,-5,-1 
-130,0,-30,-25,5,0,-1 
-40,-130,0,0,-25,5,-1 
-40,-40,-130,-10,0,-25,-1 
-120,-40,-40,-15,-10,0,1 
-40,-120,-40,5,-15,-10,-1 
-90,-40,-120,-10,5,-15,-1 
-30,-90,-40,0,-10,5,1 
10,-30,-90,5,0,-10,-1 
-30,10,-30,-10,5,0,1 
-70,-30,10,0,-10,5,1 
-20,-70,-30,5,0,-10,1 
-50,-20,-70,5,5,0,-1 
-70,-50,-20,-15,5,5,-1 
-20,-70,-50,0,-15,5,1 
10,-20,-70,10,0,-15,1 
50,10,-20,15,10,0,-1 
-40,50,10,-5,15,10,1 
0,-40,50,0,-5,15,1 
50,0,-40,5,0,-5,1 
110,50,0,20,5,0,1 
20,110,50,5,20,5,1 
60,20,110,0,5,20,-1 
40,60,20,0,0,5,-1 
-10,40,60,-5,0,0,1 
-30,-10,40,0,-5,0,1 
90,-30,-10,15,0,-5,1 
20,90,-30,0,15,0,1 
100,20,90,10,0,15,1 
20,100,20,0,10,0,1 
20,20,100,0,0,10,1 
10,20,20,0,0,0,-1 
0,10,20,-5,0,0,1 
70,0,10,10,-5,0,1 
90,70,0,5,10,-5,1 
30,90,70,5,5,10,1 
70,30,90,5,5,5,1 
140,70,30,5,5,5,1 
60,140,70,0,5,5,1 
50,60,140,0,0,5,1 
40,50,60,0,0,0,-1 
20,40,50,0,0,0,1 
70,20,40,0,0,0,1 
110,70,20,5,0,0,1 
90,110,70,0,5,0,-1 
40,90,110,-15,0,5,1 
120,40,90,10,-15,0,1 
140,120,40,0,10,-15,1 
170,140,120,5,0,10,1 
40,170,140,0,5,0,-1 
30,40,170,0,0,5,-1 
30,30,40,0,0,0,-1 
20,30,30,0,0,0,-1 
-30,20,30,0,0,0,-1 
20,-30,20,0,0,0,-1 
30,20,-30,-5,0,0,1 
140,30,20,10,-5,0,1 
50,140,30,0,10,-5,-1 
-40,50,140,-5,0,10,-1 
-60,-40,50,-15,-5,0,-1 
-60,-60,-40,0,-15,-5,1 
0,-60,-60,5,0,-15,1 
0,0,-60,0,5,0,-1 
-10,0,0,0,0,5,1 
160,-10,0,10,0,0,1 
60,160,-10,0,10,0,1 
70,60,160,0,0,10,-1 
0,70,60,0,0,0,-1 
0,0,70,0,0,0,-1 
-10,0,0,-10,0,0,1 
70,-10,0,5,-10,0,-1 
30,70,-10,0,5,-10,1 
30,30,70,0,0,5,1 
30,30,30,0,0,0,-1 
0,30,30,0,0,0,-1 
-60,0,30,-10,0,0,-1 
-60,-60,0,-10,-10,0,-1 
-120,-60,-60,-10,-10,-10,-1 
-130,-120,-60,-10,-10,-10,-1 
-100,-130,-120,0,-10,-10,-1 
-130,-100,-130,0,0,-10,-1 
-70,-130,-100,0,0,0,1 
-30,-70,-130,0,0,0,-1 
-100,-30,-70,0,0,0,-1 
-30,-100,-30,0,0,0,-1 
-140,-30,-100,-5,0,0,1 
-20,-140,-30,0,-5,0,1 
-50,-20,-140,5,0,-5,1 
-20,-50,-20,0,5,0,-1 
-80,-20,-50,-5,0,5,1 
0,-80,-20,0,-5,0,1 
80,0,-80,25,0,-5,-1 
-10,80,0,-5,25,0,1 
30,-10,80,10,-5,25,-1 
10,30,-10,0,10,-5,1 
40,10,30,5,0,10,1 
130,40,10,5,5,0,-1 
30,130,40,0,5,5,1 
90,30,130,5,0,5,-1 
60,90,30,0,5,0,1 
80,60,90,0,0,5,1 
0,80,60,0,0,0,1 
50,0,80,0,0,0,1 
150,50,0,5,0,0,1 
120,150,50,0,5,0,-1 
-50,120,150,-20,0,5,1 
20,-50,120,0,-20,0,1 
40,20,-50,0,0,-20,-1 
-80,40,20,-10,0,0,1 
50,-80,40,5,-10,0,1 
40,50,-80,5,5,-10,1 
70,40,50,5,5,5,1 
50,70,40,0,5,5,-1 
30,50,70,0,0,5,-1 
-130,30,50,-20,0,0,-1 
-10,-130,30,0,-20,0,1 
10,-10,-130,5,0,-20,1 
60,10,-10,5,5,0,1 
100,60,10,5,5,5,1 
120,100,60,5,5,5,1 
60,120,100,0,5,5,-1 
0,60,120,-5,0,5,-1 
-140,0,60,-15,-5,0,1 
20,-140,0,5,-15,-5,1 
140,20,-140,15,5,-15,1 
120,140,20,5,15,5,1 
90,120,140,0,5,15,1 
70,90,120,0,0,5,1 
140,70,90,5,0,0,1 
140,140,70,5,5,0,1 
170,140,140,0,5,5,-1 
120,170,140,0,0,5,1 
160,120,170,5,0,0,-1 
50,160,120,0,5,0,-1 
50,50,160,0,0,5,1 
110,50,50,0,0,0,1 
110,110,50,0,0,0,1 
90,110,110,0,0,0,-1 
-10,90,110,-10,0,0,1 
120,-10,90,10,-10,0,-1 
30,120,-10,0,10,-10,-1 
-20,30,120,-5,0,10,1 
10,-20,30,0,-5,0,1 
120,10,-20,5,0,-5,1 
50,120,10,5,5,0,1 
60,50,120,0,5,5,1 
60,60,50,0,0,5,-1 
40,60,60,-5,0,0,1 
40,40,60,0,-5,0,-1 
30,40,40,0,0,-5,-1 
0,30,40,0,0,0,1 
30,0,30,0,0,0,1 
40,30,0,0,0,0,-1 
-30,40,30,-5,0,0,-1 
-20,-30,40,-5,-5,0,1 
0,-20,-30,5,-5,-5,-1 
0,0,-20,0,5,-5,1 
70,0,0,10,0,5,1 
30,70,0,0,10,0,-1 
0,30,70,0,0,10,1 
10,0,30,0,0,0,-1 
-10,10,0,0,0,0,-1 
-80,-10,10,-5,0,0,-1 
0,-80,-10,0,-5,0,1 
80,0,-80,10,0,-5,1 
90,80,0,10,10,0,1 
50,90,80,5,10,10,1 
10,50,90,0,5,10,-1 
-70,10,50,-10,0,5,-1 
-50,-70,10,-10,-10,0,-1 
-150,-50,-70,-10,-10,-10,-1 
-70,-150,-50,0,-10,-10,-1 
-60,-70,-150,0,0,-10,1 
110,-60,-70,25,0,0,1 
0,110,-60,0,25,0,1 
60,0,110,5,0,25,1 
20,60,0,0,5,0,1 
40,20,60,5,0,5,-1 
-30,40,20,-5,5,0,1 
130,-30,40,5,-5,5,-1 
-70,130,-30,-10,5,-5,1 
20,-70,130,5,-10,5,1 
40,20,-70,5,5,-10,-1 
20,40,20,0,5,5,1 
-10,20,40,0,0,5,-1 
-10,-10,20,0,0,0,-1 
20,-10,-10,0,0,0,1 
10,20,-10,0,0,0,-1 
-60,10,20,0,0,0,-1 
-20,-60,10,-5,0,0,1 
0,-20,-60,0,-5,0,1 
20,0,-20,5,0,-5,1 
60,20,0,5,5,0,1 
20,60,20,0,5,5,-1 
-10,20,60,0,0,5,1 
0,-10,20,0,0,0,1 
20,0,-10,5,0,0,-1 
-20,20,0,0,5,0,-1 
-80,-20,20,-5,0,5,1 
0,-80,-20,0,-5,0,-1 
-20,0,-80,0,0,-5,-1 
-20,-20,0,0,0,0,-1 
-50,-20,-20,-10,0,0,-1 
-30,-50,-20,-5,-10,0,1 
-40,-30,-50,0,-5,-10,1 
-30,-40,-30,10,0,-5,1 
20,-30,-40,0,10,0,-1 
-140,20,-30,-25,0,10,1 
0,-140,20,20,-25,0,-1 
-230,0,-140,-20,20,-25,-1 
-140,-230,0,0,-20,20,-1 
-120,-140,-230,0,0,-20,1 
-80,-120,-140,0,0,0,1 
-40,-80,-120,0,0,0,1 
-60,-40,-80,0,0,0,1 
-20,-60,-40,0,0,0,1 
40,-20,-60,10,0,0,1 
20,40,-20,0,10,0,-1 
-30,20,40,0,0,10,1 
0,-30,20,0,0,0,1 
40,0,-30,5,0,0,-1 
0,40,0,0,5,0,1 
10,0,40,5,0,5,1 
0,10,0,0,5,0,-1 
-90,0,10,-5,0,5,-1 
-60,-90,0,0,-5,0,1 
60,-60,-90,5,0,-5,1 
10,60,-60,0,5,0,1 
120,10,60,10,0,5,1 
80,120,10,0,10,0,-1 
0,80,120,0,0,10,1 
30,0,80,0,0,0,-1 
0,30,0,0,0,0,-1 
10,0,30,0,0,0,-1 
-10,10,0,0,0,0,-1 
-20,-10,10,-5,0,0,1 
-10,-20,-10,0,-5,0,-1 
-50,-10,-20,0,0,-5,-1 
-70,-50,-10,-5,0,0,-1 
-60,-70,-50,0,-5,0,1 
-10,-60,-70,0,0,-5,-1 
0,-10,-60,0,0,0,1 
30,0,-10,10,0,0,-1 
-10,30,0,-5,10,0,1 
60,-10,30,10,-5,10,1 
0,60,-10,0,10,-5,1 
0,0,60,0,0,10,1 
20,0,0,5,0,0,1 
20,20,0,0,5,0,-1 
0,20,20,0,0,5,1 
30,0,20,0,0,0,-1 
30,30,0,0,0,0,1 
100,30,30,5,0,0,-1 
10,100,30,0,5,0,-1 
-50,10,100,-5,0,5,1 
30,-50,10,5,-5,0,-1 
10,30,-50,0,5,-5,-1 
-30,10,30,0,0,5,1 
20,-30,10,0,0,0,1 
100,20,-30,5,0,0,1 
120,100,20,0,5,0,-1 
0,120,100,0,0,5,1 
-50,0,120,0,0,0,1 
20,-50,0,5,0,0,1 
30,20,-50,0,5,0,-1 
-60,30,20,0,0,5,1 
40,-60,30,0,0,0,1 
50,40,-60,5,0,0,1 
40,50,40,0,5,0,1 
50,40,50,0,0,5,1 
130,50,40,5,0,0,-1 
30,130,50,0,5,0,-1 
10,30,130,0,0,5,1 
0,10,30,0,0,0,-1 
20,0,10,0,0,0,1 
70,20,0,0,0,0,1 
20,70,20,0,0,0,-1 
40,20,70,0,0,0,-1 
-10,40,20,0,0,0,-1 
-30,-10,40,-5,0,0,1 
20,-30,-10,0,-5,0,-1 
-40,20,-30,0,0,-5,1 
-10,-40,20,0,0,0,1 
10,-10,-40,5,0,0,1 
10,10,-10,0,5,0,-1 
-100,10,10,-5,0,5,-1 
-40,-100,10,0,-5,0,1 
50,-40,-100,5,0,-5,1 
80,50,-40,0,5,0,-1 
0,80,50,0,0,5,1 
120,0,80,10,0,0,1 
130,120,0,5,10,0,1 
20,130,120,0,5,10,1 
150,20,130,5,0,5,-1 
0,150,20,0,5,0,1 
30,0,150,0,0,5,-1 
20,30,0,0,0,0,-1 
90,20,30,0,0,0,-1 
120,90,20,0,0,0,-1 
20,120,90,0,0,0,-1 
20,20,120,0,0,0,-1 
-10,20,20,0,0,0,1 
110,-10,20,10,0,0,-1 
0,110,-10,-5,10,0,-1 
-40,0,110,0,-5,10,1 
-10,-40,0,0,0,-5,-1 
0,-10,-40,-5,0,0,-1 
20,0,-10,0,-5,0,1 
10,20,0,0,0,-5,-1 
-10,10,20,-10,0,0,-1 
0,-10,10,0,-10,0,1 
0,0,-10,0,0,-10,-1 
-100,0,0,-10,0,0,-1 
0,-100,0,0,-10,0,1 
20,0,-100,5,0,-10,1 
20,20,0,0,5,0,1 
130,20,20,10,0,5,1 
110,130,20,0,10,0,1 
30,110,130,0,0,10,1 
30,30,110,0,0,0,1 
110,30,30,5,0,0,1 
70,110,30,0,5,0,1 
40,70,110,0,0,5,-1 
0,40,70,-5,0,0,1 
60,0,40,0,-5,0,-1 
50,60,0,0,0,-5,1 
50,50,60,5,0,0,1 
